288 Cedar St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
220 Cedar St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
154 Cedar St,4-Apr,Somerville,MA,2144,,,,,,,,,,,,,,,,,
329 Lowell St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
12 Lexington Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
40 Prichard Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
9 Glenwood Rd,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
78 Partridge Ave,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
751 SOMERVILLE Ave,Unit 2,,MA,2143,,,,,,,,,,,,,,,,,
9 Morrison Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
127 Central St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
2 ABERDEEN Rd,Unit 1,,MA,2144,,,,,,,,,,,,,,,,,
154 Central St,7,Somerville,MA,2145,,,,,,,,,,,,,,,,,
6 Acadia Park,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
77 Bartlett St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
277 Highland Ave,6,Somerville,MA,2143,,,,,,,,,,,,,,,,,
57 Rogers Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
8 Bartlett St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
5 Eastman Rd,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
76 Bartlett St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
9 Prichard Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
391 Broadway,511,Somerville,MA,2145,,,,,,,,,,,,,,,,,
100 Glenwood Rd,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
102 HIGHLAND Rd,Unit 1,,MA,2144,,,,,,,,,,,,,,,,,
286 Cedar St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
67 Cedar St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
48 Trull St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
33 Robinson St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
36 Albion St,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
27 Boston Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
31 Holyoke Rd,B B,Somerville,MA,2144,,,,,,,,,,,,,,,,,
154 Cedar St,4-Feb,Somerville,MA,2144,,,,,,,,,,,,,,,,,
19 Acadia Park,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
63 Adams St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
15 Prichard Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
21 Cedar Ave,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
99 Josephine Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
53 Trull St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
8 Ashland St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
14 Conwell St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
7 Holyoke Rd,3,Somerville,MA,2144,,,,,,,,,,,,,,,,,
55 Wallace St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
26 Highland Rd,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
3 MOSSLAND St,Unit 1,,MA,2144,,,,,,,,,,,,,,,,,
19 Trull St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
42 Hudson St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
60 Trull St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
68 Elm St,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
415 Broadway,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
7 Pearson Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
20 Clyde St,#3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
19 Prichard Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
14 Waldo St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
132 Central St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
29 Morrison Ave,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
65 Pearson Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
46 Morrison Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
329 Lowell St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
89 Rogers Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
145 Albion St,A,Somerville,MA,2144,,,,,,,,,,,,,,,,,
84 Bartlett St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
35 Elm St,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
19 Spencer Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
31 Warwick St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
42 Holyoke Rd,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
114 Hudson St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
11 Berwick St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
273 Summer St,3,Somerville,MA,2144,,,,,,,,,,,,,,,,,
25 Cherry St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
28 Holyoke Rd,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
1 Lexington Ave,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
12 Richdale Ave,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
96 Partridge Ave,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
14 Waldo St,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
33 Prichard Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
32 Bartlett St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
454 Broadway,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
16 Glenwood Rd,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
3 MAXWELLS Grn,405,Somerville,MA,2144,,,,,,,,,,,,,,,,,
8 Cedar Ave,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
